r,run,hops,n,p,q,grid_type
0,863,16,100,1,1,flat
0,864,34,100,1,1,flat
0,865,37,100,1,1,flat
0,866,7,100,1,1,flat
0,867,24,100,1,1,flat
0,868,32,100,1,1,flat
0,869,8,100,1,1,flat
0,870,49,100,1,1,flat
0,871,20,100,1,1,flat
0,872,29,100,1,1,flat
0,873,22,100,1,1,flat
0,874,33,100,1,1,flat
0,875,17,100,1,1,flat
0,876,22,100,1,1,flat
0,877,18,100,1,1,flat
0,878,27,100,1,1,flat
0,879,29,100,1,1,flat
0,880,28,100,1,1,flat
0,881,33,100,1,1,flat
0,882,18,100,1,1,flat
0,883,19,100,1,1,flat
0,884,18,100,1,1,flat
0,885,16,100,1,1,flat
0,886,24,100,1,1,flat
0,887,26,100,1,1,flat
0,888,8,100,1,1,flat
0,889,27,100,1,1,flat
0,890,13,100,1,1,flat
0,891,13,100,1,1,flat
0,892,19,100,1,1,flat
0,893,24,100,1,1,flat
0,894,17,100,1,1,flat
0,895,29,100,1,1,flat
0,896,18,100,1,1,flat
0,897,31,100,1,1,flat
0,898,17,100,1,1,flat
0,899,17,100,1,1,flat
0,900,16,100,1,1,flat
0,901,20,100,1,1,flat
0,902,27,100,1,1,flat
0,903,24,100,1,1,flat
0,904,12,100,1,1,flat
0,905,32,100,1,1,flat
0,906,26,100,1,1,flat
0,907,22,100,1,1,flat
0,908,24,100,1,1,flat
0,909,17,100,1,1,flat
0,910,9,100,1,1,flat
0,911,30,100,1,1,flat
0,912,15,100,1,1,flat
0,913,7,100,1,1,flat
0,914,19,100,1,1,flat
0,915,22,100,1,1,flat
0,916,24,100,1,1,flat
0,917,17,100,1,1,flat
0,918,29,100,1,1,flat
0,919,38,100,1,1,flat
0,920,10,100,1,1,flat
0,921,30,100,1,1,flat
0,922,43,100,1,1,flat
0,923,32,100,1,1,flat
0,924,20,100,1,1,flat
